customer_id,staff_id,main_id,customer_name,country,city,street,building,work_start,work_end
1,7,8,ООО «БАУМАСТЕР»,Россия,Воронеж,Электросигнальная,30,09:00,15:00
2,9,8,"ООО «ЭКОСИСТЕМА""",Россия,Барнаул,Юрина,92,09:00,17:00
3,9,8,ООО «ТЕПЛОМЕХАНИКА ГАЗ»,Россия,Кемерово,Красноармейская,13,09:00,16:00
4,9,8,ТК «БАЙКАЛ СЕРВИС»,Россия,Новосибирск,Богдана Хмельницкого,93,,
5,10,8,ТК «БАЙКАЛ СЕРВИС»,Россия,Верхняя Пышма,Обогатителей,11,,
6,11,8,ООО «ГАЗ ЛАЙН»,Россия,Санкт-Петербург,Ворошилова,6,09:00,18:00
7,11,8,ООО «СЕВЕРНАЯ КОМПАНИЯ»,Россия,Индустриальный парк Шексна,Железнодорожный,3,08:00,17:00
8,12,8,ООО «ПИНГВИН»,Россия,Видное,Каширское шоссе,24 к.1,09:00,16:30
9,13,8,ООО «ПРОМГАЗТРЕЙД»,Россия,с. Преображенка,Индустриальная,11,09:00,18:00
10,11,8,"ООО ""СЗГАЗ""",Россия,Санкт-Петербург,Маршала Тухачевского,4,09:00,18:00
11,11,8,"ООО ""ХОГАРТ-НЕВА""",Россия,Санкт-Петербург,Калинина,57,10:00,17:30
12,10,8,ООО «РЕГИОНТОРГ»,Россия,Курган,Машиностроителей,30,08:00,17:00
13,7,8,ИП «НОСАРЬ»,Россия,,,,,
14,7,8,"ООО ""ПРОФПОТОК""",Россия,Краснодар,Ставропольская,78,,
15,13,8,"ООО ""САНРАЙЗ""",Россия,Казань,Модельная,25,09:00,17:00
